0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,3,6,14,0,0,0,0,0,0,0,0,0,0,0,0
6,3,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,5,2,17,0,0,0,0,0,0,0,0,0,0,0,0
6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0
5,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,3,2,31,0,0,0,0,0,0,0,0,0,0,0,0
6,31,3,6,3,2,8,33,0,0,0,0,0,0,0,0,0
9,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0
5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,8,1,46,0,0,0,0,0,0,0,0,0,0,0,0
6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,42,56,25,0,0,0,0,0,0,0,0,0,0,0,0,0
5,21,8,18,52,0,0,0,0,0,0,0,0,0,0,0,0
6,18,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,13,10,0,0,0,0,0,0,0,0,0,0,0,0
6,32,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,14,131,0,0,0,0,0,0,0,0,0,0,0,0
6,14,4,7,39,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0
5,39,8,36,44,0,0,0,0,0,0,0,0,0,0,0,0
6,10,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,19,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,19,6,12,21,82,0,0,0,0,0,0,0,0,0
9,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,15,152,0,0,0,0,0,0,0,0,0,0,0,0
6,17,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,24,4,6,11,98,21,29,0,0,0,0,0,0,0,0
10,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,34,58,0,0,0,0,0,0,0,0,0,0,0,0
6,23,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,51,94,0,0,0,0,0,0,0,0,0,0,0,0,0
5,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,21,38,0,0,0,0,0,0,0,0,0,0,0,0
6,21,4,19,76,0,0,0,0,0,0,0,0,0,0,0,0
